Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,James Johnson (13657443),James Johnson,13657443,SF/PF/F/UTIL,3200,ATL@MIA 10/29/2019 07:30PM ET,MIA,0
C,Bruno Fernando (13657450),Bruno Fernando,13657450,C/UTIL,3200,ATL@MIA 10/29/2019 07:30PM ET,ATL,16.5
SG/SF,Duncan Robinson (13657464),Duncan Robinson,13657464,SG/SF/F/G/UTIL,3200,ATL@MIA 10/29/2019 07:30PM ET,MIA,16.92
PG,Monte Morris (13657447),Monte Morris,13657447,PG/G/UTIL,3200,DAL@DEN 10/29/2019 09:00PM ET,DEN,8.42
PG/SG,Seth Curry (13657460),Seth Curry,13657460,PG/SG/G/UTIL,3200,DAL@DEN 10/29/2019 09:00PM ET,DAL,16.25
SG/SF,Andre Iguodala (13657452),Andre Iguodala,13657452,SG/SF/F/G/UTIL,3200,MEM@LAL 10/29/2019 10:30PM ET,MEM,0
PG,Quinn Cook (13657457),Quinn Cook,13657457,PG/G/UTIL,3200,MEM@LAL 10/29/2019 10:30PM ET,LAL,15.25
PF,Chris Silva (13657469),Chris Silva,13657469,PF/F/UTIL,3100,ATL@MIA 10/29/2019 07:30PM ET,MIA,10.42
PG/SF,Evan Turner (13657472),Evan Turner,13657472,PG/SF/F/G/UTIL,3100,ATL@MIA 10/29/2019 07:30PM ET,ATL,10.42
C,Boban Marjanovic (13657477),Boban Marjanovic,13657477,C/UTIL,3100,DAL@DEN 10/29/2019 09:00PM ET,DAL,0
SG/SF,Justin Jackson (13657483),Justin Jackson,13657483,SG/SF/F/G/UTIL,3100,DAL@DEN 10/29/2019 09:00PM ET,DAL,11.67
PG/SG,Alex Caruso (13657479),Alex Caruso,13657479,PG/SG/G/UTIL,3100,MEM@LAL 10/29/2019 10:30PM ET,LAL,8
PG/SG,Grayson Allen (13657488),Grayson Allen,13657488,PG/SG/G/UTIL,3100,MEM@LAL 10/29/2019 10:30PM ET,MEM,10.5
SG/SF,Marko Guduric (13657492),Marko Guduric,13657492,SG/SF/F/G/UTIL,3100,MEM@LAL 10/29/2019 10:30PM ET,MEM,9.17
PF,Udonis Haslem (13657497),Udonis Haslem,13657497,PF/F/UTIL,3000,ATL@MIA 10/29/2019 07:30PM ET,MIA,0
PG,Daryl Macon (13657500),Daryl Macon,13657500,PG/G/UTIL,3000,ATL@MIA 10/29/2019 07:30PM ET,MIA,0
SF/PF,KZ Okpala (13657503),KZ Okpala,13657503,SF/PF/F/UTIL,3000,ATL@MIA 10/29/2019 07:30PM ET,MIA,0.38
SF/PF,Vince Carter (13657556),Vince Carter,13657556,SF/PF/F/UTIL,3000,ATL@MIA 10/29/2019 07:30PM ET,ATL,6.75
SG/SF,Tyrone Wallace (13657560),Tyrone Wallace,13657560,SG/SF/F/G/UTIL,3000,ATL@MIA 10/29/2019 07:30PM ET,ATL,0
C,Damian Jones (13657565),Damian Jones,13657565,C/UTIL,3000,ATL@MIA 10/29/2019 07:30PM ET,ATL,5.5
PG/SG,Brandon Goodwin (13657567),Brandon Goodwin,13657567,PG/SG/G/UTIL,3000,ATL@MIA 10/29/2019 07:30PM ET,ATL,0
SG/SF,Charlie Brown (13657571),Charlie Brown,13657571,SG/SF/F/G/UTIL,3000,ATL@MIA 10/29/2019 07:30PM ET,ATL,0
SG/SF,Torrey Craig (13657507),Torrey Craig,13657507,SG/SF/F/G/UTIL,3000,DAL@DEN 10/29/2019 09:00PM ET,DEN,18.75
SG/SF,PJ Dozier (13657512),PJ Dozier,13657512,SG/SF/F/G/UTIL,3000,DAL@DEN 10/29/2019 09:00PM ET,DEN,0
SF/PF,Juancho Hernangomez (13657517),Juancho Hernangomez,13657517,SF/PF/F/UTIL,3000,DAL@DEN 10/29/2019 09:00PM ET,DEN,0
